TimeStamp(epoch),ColourHit,CorrectColour,CorrectOrNot 
1566316865211, BLUE, BLUE, True 
1566316866372, ORANGE, ORANGE, True 
1566316867276, RED, RED, True 
1566316868105, GREEN, GREEN, True 
1566316868852, YELLOW, YELLOW, True 
1566316870093, RED, RED, True 
1566316871427, YELLOW, YELLOW, True 
1566316872266, RED, RED, True 
1566316873278, BLUE, BLUE, True 
1566316875548, YELLOW, YELLOW, True 
1566316876425, BLUE, BLUE, True 
1566316877403, GREEN, GREEN, True 
1566316878493, BLUE, BLUE, True 
1566316879603, ORANGE, ORANGE, True 
1566316880581, GREEN, GREEN, True 
1566316881724, ORANGE, ORANGE, True 
1566316883042, YELLOW, YELLOW, True 
